,col_num,name,owned
2,S307,Satin - Lemon,0
3,S310,Satin - Black,0
4,S321,Satin - Red,0
5,S326,Satin - Rose,0
6,S336*,Satin - Blue,0
7,S351,Satin - Coral,0
8,S352,Satin - Coral Light,0
9,S367,Satin - Pistachio Green,0
10,S414*,Satin - Steel Grey,0
11,S415,Satin - Pearl Grey,0
12,S434*,Satin - Brown,0
13,S469*,Satin - Avacado Green,0
14,S471,Satin - Avocado Green Very Light,0
15,S472,Satin - Avocado Green Ultra Light,0
16,S501*,Satin - Blue Green Dark,0
17,S504,Satin - Blue Green,0
18,S550,Satin - Violet Dark,0
19,S552,Satin - Violet Medium,0
20,S553*,Satin - Violet,0
21,S601,Satin - Cranberry Dark,0
22,S602,Satin - Cranberry,0
23,S606,Satin - Orange Red,0
24,S666*,Satin - Red Bright,0
25,S676*,Satin - Old Gold,0
26,S700,Satin - Green,0
27,S702*,Satin - Kelly Green,0
28,S712*,Satin - Cream,0
29,S726*,Satin - Topaz,0
30,S738*,Satin - Tan Dark,0
31,S739*,Satin - Tan,0
32,S741,Satin - Tangerine,0
33,S744*,Satin - Yellow,0
34,S745*,Satin - Yellow Pale,0
35,S762*,Satin - Pearl Grey,0
36,S776*,Satin - Pink,0
37,S797*,Satin - Royal Blue,0
38,S798,Satin - Delft Blue Dark,0
39,S799,Satin - Delft Blue,0
40,S800,Satin - Delft Blue Pale,0
41,S818,Satin - Baby Pink,0
42,S820,Satin - Royal Blue Very Dark,0
43,S841,Satin - Beige Brown,0
44,S898,Satin - Coffee Brown,0
45,S899,Satin - Rose,0
46,S909*,Satin - Emerald Green,0
47,S915*,Satin - Plum Dark,0
48,S931,Satin - Antique Blue,0
49,S932*,Satin - Antique Blue Light,0
50,S943,Satin - Aquamarine,0
51,S959,Satin - Seagreen,0
52,S964*,Satin - Seagren Light,0
53,S976,Satin - Golden Brown,0
54,S991,Satin - Aquamarine Dark,0
55,S995,Satin - Electric Blue,0
56,S3371*,Satin - Black Brown,0
57,S3607*,Satin - Plum,0
58,S3685,Satin - Mauve,0
59,S3820,Satin - Straw,0
60,* Hard to find threads,,0
0,48.0,Discontinued Variegated - Baby Pink,0
1,51.0,Discontinued Variegated - Burnt Orange,0
2,52.0,Discontinued Variegated - Violet,0
3,53.0,Discontinued Variegated - Steel Gray,0
4,57.0,Discontinued Variegated - Red,0
5,61.0,Discontinued Variegated - Topaz,0
6,62.0,Discontinued Variegated - Dusty Rose,0
7,67.0,Discontinued Variegated - Baby Blue,0
8,69.0,Discontinued Variegated - Terra Cotta,0
9,75.0,Discontinued Variegated - Cranberry,0
10,90.0,Discontinued Variegated - Yellow,0
11,91.0,Discontinued Variegated - Turquoise,0
12,92.0,Discontinued Variegated - Avocado,0
13,93.0,Discontinued Variegated - Cornflower Blue,0
14,94.0,Discontinued Variegated - Khaki Green,0
15,95.0,Discontinued Variegated - Purple,0
16,99.0,Discontinued Variegated - Mauve,0
17,101.0,Discontinued Variegated - Spring Green,0
18,102.0,Discontinued Variegated - Dark Violet,0
19,103.0,Discontinued Variegated - Royal Blue,0
20,104.0,Discontinued Variegated - Lemon,0
21,105.0,Discontinued Variegated - Tan Brown,0
22,106.0,Discontinued Variegated - Coral,0
23,107.0,Discontinued Variegated - Carnation,0
24,108.0,Discontinued Variegated - Yellow Orange,0
25,111.0,Discontinued Variegated - Mustard,0
26,112.0,Discontinued Variegated - Salmon,0
27,113.0,Discontinued Variegated - Wedgewood Blue,0
28,114.0,Discontinued Variegated - Lime Green,0
29,115.0,Discontinued Variegated - Garnet,0
30,116.0,Discontinued Variegated - Cyclamen Pink,0
31,121.0,Discontinued Variegated - Delft Blue,0
32,122.0,Discontinued Variegated - Olive Green,0
33,123.0,Discontinued Variegated - Teal,0
34,124.0,Discontinued Variegated - Periwinkle,0
35,125.0,Discontinued Variegated - Seafoam Green,0
36,126.0,Discontinued Variegated - Lavender,0
37,4000.0,Discontinued Variegated - Espresso,0
38,4010.0,Discontinued Variegated - Winter Sky,0
39,4017.0,Discontinued Variegated - Polar Ice,0
40,4022.0,Discontinued Variegated - Mediterranean Sea,0
41,4042.0,Discontinued Variegated - Very Merry,0
42,4047.0,Discontinued Variegated - Emerald Isle,0
43,4066.0,Discontinued Variegated - Amazon Moss,0
44,4068.0,Discontinued Variegated - Camouflage,0
45,4069.0,Discontinued Variegated - Margarita,0
46,4072.0,Discontinued Variegated - Toasted Almond,0
47,4073.0,Discontinued Variegated - Buttercup,0
48,4095.0,Discontinued Variegated - Cupcake,0
49,4122.0,Discontinued Variegated - Fall Harvest,0
50,4129.0,Discontinued Variegated - Peanut Brittle,0
51,4135.0,Discontinued Variegated - Terra Cotta,0
52,4205.0,Discontinued Variegated - Caliente,0
53,4211.0,Discontinued Variegated - Azalea,0
54,4212.0,Discontinued Variegated - Mixed Berries,0
55,4214.0,Discontinued Variegated - Cotton Candy,0
56,4237.0,Discontinued Variegated - Laguna Blue,0
57,4245.0,Discontinued Variegated - Mystical Midnight,0
58,4250.0,Discontinued Variegated - Berry Parfait,0
59,4255.0,Discontinued Variegated - Orchid,0
60,4260.0,Discontinued Variegated - Enchanted,0
61,4265.0,Discontinued Variegated - Purple Pansy,0
